ma,ten,ghi_chu
GRP-WEB-01,Quản lý tin tức (CMS),
GRP-WEB-02,Gửi báo cáo tín dụng,
GRP-WEB-03,Tra cứu và đăng ký sản phẩm,
GRP-WEB-04,"Phân tích, cảnh báo",
GRP-WEB-05,Khai thác sản phẩm,
GRP-WEB-06,Quản lý tra soát,
GRP-WEB-07,Quản trị tài khoản,
GRP-WEB-08,Thanh toán & Hóa đơn,
GRP-KKN-01,Dashboard KKN,
GRP-KKN-02,Quản lý kênh trao đổi dữ liệu,
GRP-KKN-03,Tổng hợp dữ liệu,
GRP-KKN-04,Báo cáo khai thác kênh,
GRP-XLDL-01,Dashboard XLDL,
GRP-XLDL-02,Thu thập dữ liệu,
GRP-XLDL-03,Xử lý dữ liệu,
GRP-XLDL-04,Quản lý mã CIC,
GRP-XLDL-05,Quản lý điều chỉnh dữ liệu,
GRP-XLDL-06,Kho dữ liệu,
GRP-XLDL-07,Tổng hợp dữ liệu,
GRP-XLDL-08,"Quản lý chỉ tiêu, mẫu tệp",
GRP-XLDL-09,Quản lý tỷ giá tiền tệ,
GRP-XLDL-10,Xác thực thông tin pháp lý,
GRP-KSDL-01,Dashboard KSDL,
GRP-KSDL-02,Đối chiếu thông tin cân đối,
GRP-KSDL-03,Quản lý dữ liệu nghi ngờ sai lệch,
GRP-QTDL-01,Dashboard QTDL,
GRP-QTDL-02,Quản trị siêu dữ liệu (metadata),
GRP-QTDL-03,Quản lý từ điển nghiệp vụ,
GRP-QTDL-04,Quản lý từ điển kỹ thuật,
GRP-QTDL-05,Quản trị dòng dữ liệu,
GRP-QTDL-06,Quản lý chất lượng dữ liệu,
GRP-QTDL-07,Quản lý nguồn dữ liệu,
GRP-QTDL-08,Quản lý job QTDL,
GRP-QTDL-09,Cấu hình & tích hợp,
GRP-QLSP-01,Dashboard QLSP,
GRP-QLSP-02,Tiếp nhận yêu cầu hỏi tin,
GRP-QLSP-03,Quản lý danh mục,
