ma,ten,loai,mo_ta,ghi_chu
CBDVGBC,Cán bộ đơn vị gửi báo cáo,Người dùng,Cán bộ thuộc đơn vị gửi báo cáo,
QTHT,Quản trị hệ thống,Người dùng,Quản trị hệ thống nghiệp vụ lõi,
HT-M5,Hệ thống M5,Hệ thống ngoài,Hệ thống quản lý thông tin khách hàng vay,
HT-XHTD,Hệ thống XHTD,Hệ thống ngoài,Hệ thống xếp hạng tín dụng,
HT-CDTD,Hệ thống CĐTD,Hệ thống ngoài,Hệ thống chấm điểm tín dụng,
HT-TCTDNN,Hệ thống tại TCTD nước ngoài,Hệ thống ngoài,Hệ thống của TCTD nước ngoài,
HT-TCTD,Hệ thống tại TCTD,Hệ thống ngoài,Hệ thống của thống tại TCTD,
DVGBC,Đơn vị gửi báo cáo,Người dùng,Đơn vị của gửi báo cáo,
CB-TTXLDL,Cán bộ nghiệp vụ TT&XLDL,Người dùng,Cán bộ của nghiệp vụ TT&XLDL,
LD-TTXLDL,Lãnh đạo bộ phận TT&XLDL,Người dùng,Lãnh đạo của bộ phận TT&XLDL,
HT-C06,Hệ thống C06,Hệ thống ngoài,Hệ thống thông tin căn cước công dân - C06,
LDP-TTXLDL,Lãnh đạo phòng nghiệp vụ TT&XLDL,Người dùng,Lãnh đạo của nghiệp vụ TT&XLDL,
CB-KSDL,Cán bộ KSDL,Người dùng,Cán bộ của nghiệp vụ KSDL,
LDP-KSDL,Lãnh đạo P.KSDL,Người dùng,Lãnh đạo phòng của nghiệp vụ KSDL,
CB-TLSP,Cán bộ nghiệp vụ quản lý tạo lập sản phẩm TTTD,Người dùng,Cán bộ nghiệp vụ quản lý tạo lập sản phẩm thông tin tín dụng,
LD-TLSP,Lãnh đạo bộ phận quản lý tạo lập sản phẩm TTTD,Người dùng,Lãnh đạo của bộ phận tạo lập sản phẩm thông tin tín dụng,
CB-TNYC,Cán bộ tiếp nhận yêu cầu,Người dùng,Cán bộ của nhận yêu cầu từ phía khách hàng,
LDP-TNYC,Lãnh đạo phòng ban tiếp nhận yêu cầu,Người dùng,Lãnh đạo của bộ phận/phòng ban tiếp nhận yêu cầu từ phía khách hàng,
CBQTNCIC,Cán bộ quản trị đơn vị ngoài CIC,Người dùng,Cán bộ quản trị của đơn vị ngoài CIC,
