ma_uc,stt,ma_phan_he,phan_he,ten_uc,actor_chinh,actor_phu,bi_danh,bmt,so_trans,do_phuc_tap,la_tu_dong,pham_vi,trang_thai,nhom_excel,ghi_chu
UC-0001,1,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Quản lý thông tin đăng ký/thay đổi kết nối trao đổi dữ liệu với CIC,"CBĐVGBC, QTHT (gọi chung là Người dùng)",,,B,4,Trung bình,,,,,
UC-0002,2,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Quản lý thông tin ngừng/khôi phục kết nối trao đổi dữ liệu với CIC,"CBĐVGBC, QTHT (gọi chung là Người dùng)",,,B,4,Trung bình,,,,,
UC-0003,3,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin đăng ký/thay đổi kết nối trao đổi dữ liệu với CIC,"CBĐVGBC, QTHT (gọi chung là Người dùng)",,,B,3,Đơn giản,,,,,
UC-0004,4,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin ngừng/khôi phục kết nối trao đổi dữ liệu với CIC,"CBĐVGBC, QTHT (gọi chung là Người dùng)",,,B,3,Đơn giản,,,,,
UC-0005,5,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Phê duyệt thông tin đăng ký/thay đổi kết nối trao đổi dữ liệu với CIC,QTHT,,,B,2,Đơn giản,,,,,
UC-0006,6,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Phê duyệt thông tin ngừng/khôi phục kết nối trao đổi dữ liệu với CIC,QTHT,,,B,2,Đơn giản,,,,,
UC-0007,7,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Từ chối thông tin đăng ký/thay đổi kết nối trao đổi dữ liệu với CIC,QTHT,,,B,2,Đơn giản,,,,,
UC-0008,8,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Từ chối thông tin ngừng/khôi phục kết nối trao đổi dữ liệu với CIC,QTHT,,,B,2,Đơn giản,,,,,
UC-0009,9,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Kiểm tra thiết lập kết nối trao đổi dữ liệu với CIC,"CBĐVGBC, QTHT (gọi chung là Người dùng)",,,B,3,Đơn giản,,,,,
UC-0010,10,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Báo cáo thống kê tình hình nhận/gửi dữ liệu qua Web CIC,QTHT,,,B,4,Trung bình,,,,,
UC-0011,11,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Báo cáo thống kê tình hình nhận/gửi dữ liệu qua API,QTHT,,,B,4,Trung bình,,,,,
UC-0012,12,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Báo cáo thống kê tình hình nhận/gửi dữ liệu qua H2H,QTHT,,,B,4,Trung bình,,,,,
UC-0013,13,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Lưu trữ file data,HT-M5,,,M,2,Đơn giản,,,,,
UC-0014,14,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin file data,QTHT,,,B,2,Đơn giản,,,,,
UC-0015,15,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Lưu trữ thông tin yêu cầu truy vấn,HT-M5,,,M,2,Đơn giản,,,,,
UC-0016,16,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin yêu cầu truy vấn,QTHT,,,B,3,Đơn giản,,,,,
